Fecha;Demanda (MW)
2007-01-10 11;38577.33
2007-01-10 12;38041.0
2007-01-10 13;37159.16
2007-01-10 14;35513.83
2007-01-10 15;35343.33
2007-01-10 16;35412.5
2007-01-10 17;36251.66
2007-01-10 18;39073.33
2007-01-10 19;40183.33
2007-01-10 20;39815.5
2007-01-10 21;38930.0
2007-01-10 22;36368.83
2007-01-10 23;35350.0
2007-01-11 00;32375.16
2007-01-11 01;29515.16
2007-01-11 02;27726.83
2007-01-11 03;26798.33
2007-01-11 04;26231.5
2007-01-11 05;26158.83
2007-01-11 06;28089.33
2007-01-11 07;32045.0
2007-01-11 08;36620.16
2007-01-11 09;37144.83
2007-01-11 10;38352.5
2007-01-11 11;38162.0
2007-01-11 12;37595.5
2007-01-11 13;36646.66
2007-01-11 14;34856.66
2007-01-11 15;34522.83
2007-01-11 16;34705.0
2007-01-11 17;35391.66
2007-01-11 18;38175.0
2007-01-11 19;39601.33
2007-01-11 20;39294.83
2007-01-11 21;38589.66
2007-01-11 22;36273.33
2007-01-11 23;35399.83
2007-01-12 00;32594.33
2007-01-12 01;29817.33
2007-01-12 02;27965.0
2007-01-12 03;26951.5
2007-01-12 04;26483.0
2007-01-12 05;26383.33
2007-01-12 06;28285.33
2007-01-12 07;32354.16
2007-01-12 08;36708.5
2007-01-12 09;37485.33
2007-01-12 10;38408.16
2007-01-12 11;38162.66
2007-01-12 12;37579.83
2007-01-12 13;36434.83
2007-01-12 14;34517.33
2007-01-12 15;34034.66
2007-01-12 16;33773.0
2007-01-12 17;34280.83
2007-01-12 18;37145.83
2007-01-12 19;38340.83
2007-01-12 20;37767.5
2007-01-12 21;37004.0
2007-01-12 22;35182.33
2007-01-12 23;34914.66
2007-01-13 00;32594.33
2007-01-13 01;29817.33
2007-01-13 02;27965.0
2007-01-13 03;26951.5
2007-01-13 04;26483.0
2007-01-13 05;26383.33
2007-01-13 06;28285.33
2007-01-13 07;32354.16
2007-01-13 08;36708.5
2007-01-13 09;37485.33
2007-01-13 10;38408.16
2007-01-13 11;38162.66
2007-01-13 12;37579.83
2007-01-13 13;36434.83
2007-01-13 14;34517.33
2007-01-13 15;34034.66
2007-01-13 16;33773.0
2007-01-13 17;34280.83
2007-01-13 18;37145.83
2007-01-13 19;38340.83
2007-01-13 20;37767.5
2007-01-13 21;37004.0
2007-01-13 22;35182.33
2007-01-13 23;34914.66
